,en-US,de-DE,fr-FR,it-IT,es-ES,pl-PL
#FE-Off,Off,Aus,Off,Off,Desactivar,Wyłączone
#FE-On,On,Ein,On,On,Activar,Włączone
#FE-No,No,Nein,Non,No,No,Nie
#FE-Yes,Yes,Ja,Oui,Sě,Sí,Tak
#FE-Back,Back,Zurück,Retour,Indietro,Volver,Powrót
#FE-Continue,Continue,Weiter,Continuer,Continua,Continuar,Dalej
#FE-NewGame,New Game,Neues Spiel,Nouvelle partie,Nuova partita,Nueva partida,Nowa gra
#FE-LoadGame,Load Game,Spiel Laden,Charger,Carica partita,Cargar partida,Ładuj grę
#FE-Options,Options,Optionen,Options,Opzioni,Opciones,Opcje
#FE-Language,Language,Sprache,Langue,Lingua,Idioma,Język
#FE-GFXOptions,Graphics Options,Grafik-Optionen,Options Graphiques,Opzioni grafiche,Opciones gráficas,Opcje grafiki
#FE-SFXOptions,Sound Options,Sound-Optionen,Options Sonores,Opzioni audio,Opciones de sonido,Opcje dzwięku
#FE-GameOptions,Game Options,Spiel-Optionen,Options de jeu,Opzioni di gioco,Opciones de juego,Opcje gry
#FE-EffectsVolume,Effects Volume,Effekt-Lautstärke,Volume des sons,Volume effetti,Volumen de los efectos,Głośność dźwięków
#FE-MusicVolume,Music Volume,Musik-Lautstärke,Volume de la musique,Volume musica,Volumen de la música,Głośność muzyki
#FE-Vibrations,Controller Vibrations,Kontroller Vibration,Vibration,Vibrazione,Vibración,Wibracje kontrolera
#FE-DisableAutoSave,Disable Autosave,Autom-Sp. Deaktiv.,Dés. l'auto-sauvegarde,Disabilita salv. autom.,Desact. autoguardado,Wyłącz autom. zapis
#FE-Extras,Extras,Extras,Bonus,Extra,Extras,Bonusy
#FE-Paused,Game Paused,Pause,Jeu en pause,Pausa,Partida en pausa,Pauza
#FE-SaveGame,Save Game,Spiel Speichern,Sauvegarder,Salva partita,Guardar partida,Zapisz grę
#FE-QuitGame,Quit Game,Spiel Beenden,Quitter,Esci,Salir,Wyjdź z gry
#FE-Resume,Resume,Weiter,Continuer,Riprendi,Reanudar,Kontynuuj
#FE-AutoSaveOn,Autosave Enabled,Autom. speichern aktiviert,Auto-sauvegarde activée,Salvataggio automatico abilitato,Autoguardado activado,Autom. zapis włączony
#FE-AutoSaveOnMSG,Please don't turn off the game\nwhen the autosave indicator\nbelow is present.,Bitte das Spiel nicht ausschalten\nwenn die autom. speichern Anzeige\nunten angezeigt wird.,Veuillez ne pas éteindre\nle jeu lorsque l'indicateur\nde sauvegarde automatique\nci-dessous est présent.,Si prega di non spegnere\nil gioco quando è presente\nl'indicatore di salvataggio automatico\nriportato di seguito.,No apagues el juego cuando\nel indicador de guardado automático\na continuación esté presente.,Proszę nie wyłączać gry\nkiedy symbol poniżej\njest widoczny.
#FE-AutoSaveOff,Autosave Disabled,Autom. speichern deaktiv.,Auto-sauvegarde désactivée,Salvataggio automatico disattivato,Autoguardado desactivado,Autom. zapis wyłączony
#FE-AutoSaveOffMSG,"To enable autosave,\nreturn to the pause menu\nand re-save the game.","Um autom. speichern zu aktivieren,\nkehr zum Pause-Menü zurück und\nspeichere das Spiel erneut ab.","Pour activer la sauvegarde\nautomatique, revenez au menu pause\net sauvegardez\nà nouveau le jeu.","Per abilitare il salvataggio automatico,\ntorna al menu di pausa\ne salva nuovamente il gioco.","Para habilitar el guardado automático,\nregresa al menú de pausa\ny vuelve a guardar el juego.",Aby włączyć autom. zapis\nzpauzuj grę i zapisz\nponownie.
#FE-OverwriteOption,Overwrite,Überschreiben,écraser,Sovrascrivere,Sobrescribir,Przepisanie zapisu
#FE-OverwriteMSG,Are you sure you wish to\noverwrite this saved game?,Bist du sicher\ndass du diese datei\nüberschreiben möchtest?,Ecraser la sauvegarde ?,Sei sicuro di voler\nsovrascrivere questo file salvato?,żseguro de que quieres\nsobrescribir este archivo?,Jesteś pewny aby\nprzepisać ten zapis gry?
#FE-SaveHeader,Select slot to Save,Datei zum speichern wählen,Sélectionner le fichier ŕ sauvegarder,Seleziona il file da salvare,Selecciona archivo para guardar,Wybierz miejsce na zapis
